"coexpression","coexpression_transferred","combined_score","cooccurence","database","database_transferred","experiments","experiments_transferred","fusion","homology","interaction","name","neighborhood","neighborhood_transferred","protein1","protein2","selected","shared interaction","shared name","textmining","textmining_transferred"
"530","62","845","0","0","0","0","0","0","0","interacts with","CD27 (interacts with) CD2","0","0","9606.ENSP00000266557","9606.ENSP00000358490","false","interacts with","CD27 (interacts with) CD2","677","0"
"77","107","221","0","0","0","0","0","0","0","interacts with","PSMB8 (interacts with) TYROBP","0","0","9606.ENSP00000364016","9606.ENSP00000262629","false","interacts with","PSMB8 (interacts with) TYROBP","113","61"
"345","65","468","0","0","0","0","0","0","0","interacts with","HLA-DPA1 (interacts with) TYROBP","0","0","9606.ENSP00000393566","9606.ENSP00000262629","false","interacts with","HLA-DPA1 (interacts with) TYROBP","202","0"
"74","62","481","0","0","0","0","0","0","0","interacts with","PSMB8 (interacts with) CD4","0","0","9606.ENSP00000364016","9606.ENSP00000011653","false","interacts with","PSMB8 (interacts with) CD4","450","43"
"137","0","296","0","0","0","0","0","0","0","interacts with","GZMB (interacts with) HLA-DPA1","0","0","9606.ENSP00000216341","9606.ENSP00000393566","false","interacts with","GZMB (interacts with) HLA-DPA1","218","0"
"138","64","220","0","0","0","0","0","0","0","interacts with","HLA-DPA1 (interacts with) CCR7","0","0","9606.ENSP00000393566","9606.ENSP00000246657","false","interacts with","HLA-DPA1 (interacts with) CCR7","96","58"
"120","0","225","0","0","0","0","0","0","0","interacts with","HCLS1 (interacts with) TNFSF13B","0","0","9606.ENSP00000320176","9606.ENSP00000365048","false","interacts with","HCLS1 (interacts with) TNFSF13B","75","125"
"76","0","435","0","0","0","0","0","0","0","interacts with","CD27 (interacts with) TNFRSF1B","0","0","9606.ENSP00000266557","9606.ENSP00000365435","false","interacts with","CD27 (interacts with) TNFRSF1B","414","0"
"162","49","473","0","0","0","0","0","0","0","interacts with","TLR8 (interacts with) CCR7","0","0","9606.ENSP00000312082","9606.ENSP00000246657","false","interacts with","TLR8 (interacts with) CCR7","392","0"
"182","79","214","0","0","0","0","0","0","0","interacts with","TLR2 (interacts with) HCLS1","0","0","9606.ENSP00000260010","9606.ENSP00000320176","false","interacts with","TLR2 (interacts with) HCLS1","0","0"
"0","0","420","0","0","0","0","0","0","0","interacts with","TNFAIP3 (interacts with) TNFSF13B","0","0","9606.ENSP00000481570","9606.ENSP00000365048","false","interacts with","TNFAIP3 (interacts with) TNFSF13B","420","0"
"0","62","687","0","0","0","0","0","0","0","interacts with","CD27 (interacts with) TNFSF13B","0","0","9606.ENSP00000266557","9606.ENSP00000365048","false","interacts with","CD27 (interacts with) TNFSF13B","681","0"
"139","0","202","0","0","0","0","0","0","0","interacts with","PRF1 (interacts with) HLA-DPA1","0","0","9606.ENSP00000398568","9606.ENSP00000393566","false","interacts with","PRF1 (interacts with) HLA-DPA1","112","0"
"152","62","850","0","0","0","0","0","0","0","interacts with","SELL (interacts with) CD27","0","0","9606.ENSP00000236147","9606.ENSP00000266557","false","interacts with","SELL (interacts with) CD27","804","157"
"88","66","161","0","0","0","0","0","0","0","interacts with","PSMB8 (interacts with) CD2","0","0","9606.ENSP00000364016","9606.ENSP00000358490","false","interacts with","PSMB8 (interacts with) CD2","95","0"
