"coexpression","coexpression_transferred","combined_score","cooccurence","database","database_transferred","experiments","experiments_transferred","fusion","homology","interaction","name","neighborhood","neighborhood_transferred","protein1","protein2","selected","shared interaction","shared name","textmining","textmining_transferred"
"45","64","381","0","0","0","0","358","0","0","interacts with","DLD (interacts with) NDUFA7","0","0","9606.ENSP00000205402","9606.ENSP00000301457","false","interacts with","DLD (interacts with) NDUFA7","0","49"
"99","191","390","0","0","0","0","182","0","0","interacts with","IDH3B (interacts with) NDUFA12","0","0","9606.ENSP00000370223","9606.ENSP00000330737","false","interacts with","IDH3B (interacts with) NDUFA12","0","98"
"0","0","370","0","0","0","0","0","0","0","interacts with","APOBEC3B (interacts with) PIK3CA","0","0","9606.ENSP00000327459","9606.ENSP00000263967","false","interacts with","APOBEC3B (interacts with) PIK3CA","370","42"
"0","64","309","0","0","0","0","0","0","0","interacts with","NDUFV2 (interacts with) NDUFAF6","0","0","9606.ENSP00000327268","9606.ENSP00000379430","false","interacts with","NDUFV2 (interacts with) NDUFAF6","293","0"
"47","157","206","0","0","0","0","0","0","0","interacts with","MRPL40 (interacts with) NDUFA7","0","0","9606.ENSP00000333401","9606.ENSP00000301457","false","interacts with","MRPL40 (interacts with) NDUFA7","56","77"
"0","63","617","0","600","0","0","0","0","0","interacts with","NDUFA7 (interacts with) NDUFAF6","0","0","9606.ENSP00000301457","9606.ENSP00000379430","false","interacts with","NDUFA7 (interacts with) NDUFAF6","62","0"
"0","0","215","0","0","0","215","0","0","0","interacts with","C15orf48 (interacts with) NDUFV2","0","0","9606.ENSP00000341610","9606.ENSP00000327268","false","interacts with","C15orf48 (interacts with) NDUFV2","0","0"
"100","123","176","0","0","0","0","0","0","0","interacts with","NDUFA12 (interacts with) MRPS22","0","0","9606.ENSP00000330737","9606.ENSP00000418008","false","interacts with","NDUFA12 (interacts with) MRPS22","0","0"
"125","183","254","0","0","0","0","0","0","0","interacts with","NDUFA12 (interacts with) EMC7","0","0","9606.ENSP00000330737","9606.ENSP00000256545","false","interacts with","NDUFA12 (interacts with) EMC7","0","0"
"0","86","989","0","900","0","800","345","0","0","interacts with","MT-ND3 (interacts with) NDUFA12","0","0","9606.ENSP00000355206","9606.ENSP00000330737","false","interacts with","MT-ND3 (interacts with) NDUFA12","246","0"
"180","73","207","0","0","0","0","0","0","0","interacts with","NDUFV2 (interacts with) EMC7","0","0","9606.ENSP00000327268","9606.ENSP00000256545","false","interacts with","NDUFV2 (interacts with) EMC7","0","0"
"0","0","532","0","0","0","0","0","0","0","interacts with","NDUFA12 (interacts with) NDUFAF6","0","0","9606.ENSP00000330737","9606.ENSP00000379430","false","interacts with","NDUFA12 (interacts with) NDUFAF6","371","287"
"503","493","999","0","900","0","998","228","0","0","interacts with","NDUFA12 (interacts with) NDUFS7","0","0","9606.ENSP00000330737","9606.ENSP00000233627","false","interacts with","NDUFA12 (interacts with) NDUFS7","605","368"
"124","148","997","0","900","0","800","663","0","0","interacts with","MT-ND2 (interacts with) NDUFV2","0","219","9606.ENSP00000355046","9606.ENSP00000327268","false","interacts with","MT-ND2 (interacts with) NDUFV2","373","297"
"188","134","291","0","0","0","0","0","0","0","interacts with","NDUFV2 (interacts with) MRPS22","0","0","9606.ENSP00000327268","9606.ENSP00000418008","false","interacts with","NDUFV2 (interacts with) MRPS22","74","0"
"504","784","999","246","900","0","933","937","0","0","interacts with","NDUFV2 (interacts with) NDUFS7","0","295","9606.ENSP00000327268","9606.ENSP00000233627","false","interacts with","NDUFV2 (interacts with) NDUFS7","710","603"
"184","73","393","0","0","0","0","254","0","0","interacts with","NDUFA12 (interacts with) DLST","0","0","9606.ENSP00000330737","9606.ENSP00000335304","false","interacts with","NDUFA12 (interacts with) DLST","52","0"
"289","819","999","0","900","0","878","788","0","0","interacts with","NDUFA7 (interacts with) NDUFS7","0","0","9606.ENSP00000301457","9606.ENSP00000233627","false","interacts with","NDUFA7 (interacts with) NDUFS7","663","438"
"0","519","998","0","900","0","800","689","0","0","interacts with","NDUFV2 (interacts with) MT-ND3","0","295","9606.ENSP00000327268","9606.ENSP00000355206","false","interacts with","NDUFV2 (interacts with) MT-ND3","384","390"
"0","62","994","0","900","0","800","663","0","0","interacts with","NDUFA7 (interacts with) MT-ND3","0","0","9606.ENSP00000301457","9606.ENSP00000355206","false","interacts with","NDUFA7 (interacts with) MT-ND3","230","55"
"207","123","994","0","900","0","800","247","0","0","interacts with","NDUFB1 (interacts with) NDUFA7","0","0","9606.ENSP00000330787","9606.ENSP00000301457","false","interacts with","NDUFB1 (interacts with) NDUFA7","556","0"
"0","235","385","0","0","0","0","79","0","0","interacts with","NDUFA4L2 (interacts with) NDUFA12","0","0","9606.ENSP00000377411","9606.ENSP00000330737","false","interacts with","NDUFA4L2 (interacts with) NDUFA12","181","61"
"0","86","989","0","900","0","800","345","0","0","interacts with","NDUFA12 (interacts with) MT-ND3","0","0","9606.ENSP00000330737","9606.ENSP00000355206","false","interacts with","NDUFA12 (interacts with) MT-ND3","246","0"
"72","63","534","0","0","0","0","0","0","0","interacts with","NDUFAF3 (interacts with) NDUFA12","0","0","9606.ENSP00000323076","9606.ENSP00000330737","false","interacts with","NDUFAF3 (interacts with) NDUFA12","323","303"
"305","184","783","0","0","0","0","368","0","0","interacts with","NDUFV2 (interacts with) DLST","0","0","9606.ENSP00000327268","9606.ENSP00000335304","false","interacts with","NDUFV2 (interacts with) DLST","0","468"
"89","110","203","0","0","0","0","0","0","0","interacts with","UQCC2 (interacts with) NDUFA12","0","0","9606.ENSP00000476140","9606.ENSP00000330737","false","interacts with","UQCC2 (interacts with) NDUFA12","96","0"
"104","62","194","0","0","0","0","0","0","0","interacts with","NDUFA7 (interacts with) DLST","0","0","9606.ENSP00000301457","9606.ENSP00000335304","false","interacts with","NDUFA7 (interacts with) DLST","54","107"
"350","64","365","0","0","0","0","0","0","0","interacts with","MTX2 (interacts with) NDUFA12","0","0","9606.ENSP00000249442","9606.ENSP00000330737","false","interacts with","MTX2 (interacts with) NDUFA12","0","0"
"273","101","318","0","0","0","0","0","0","0","interacts with","PSMD14 (interacts with) NDUFV2","0","0","9606.ENSP00000386541","9606.ENSP00000327268","false","interacts with","PSMD14 (interacts with) NDUFV2","0","0"
"142","90","185","0","0","0","0","0","0","0","interacts with","PRDX5 (interacts with) NDUFA12","0","0","9606.ENSP00000265462","9606.ENSP00000330737","false","interacts with","PRDX5 (interacts with) NDUFA12","0","0"
"0","112","449","0","0","0","96","369","0","0","interacts with","PMPCA (interacts with) NDUFA7","0","0","9606.ENSP00000360782","9606.ENSP00000301457","false","interacts with","PMPCA (interacts with) NDUFA7","0","0"
